71.人口按年龄分组的婚姻状况,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    丧偶,,,    离婚,,
,  1 5岁及1 5岁以上人口,,,    未婚,,,    有配偶,,,,,    年龄别,,,,,,
    年龄别,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,"    47,639,984","    15,161,874","    32,478,110","    3,955,397","    3,128,571","    826,826"
总计,"    665,480,612","    340，851,820","    324,628,792","    190,119,894","    111,483,247",78636647,"    423,765,337","  211,078,128","    212,687,209",,,1 5-1 9岁,"    5,191","    2,524","    2,667","    29,539","    6,320","    23,219"
1 5—1 9岁,"    125,168,458","    63,705,558","    61,462,900","    121,888,334","    63,115,263","    58,773,071","    3,245,394","    581,451","    2,663,943",,,2 0,"    2,5 61",    876,"    1,685","    15,803","    5,332","    10,471"
2 0,"    1 5,582,662","    7,674,200","    7,908,462","    13,108,430","    7,166,011","    5,942,419","    2,455,868","    501,980","    1,953,888",,,2 1,"    2,722","    1,045","    1,677","    12,547","    5,081","    7,466"
2 1,"    10,660,932","    5,305,541","    5,355,391","    7,973,942","    4,622,906","    3,351，036","    2,671,721","    676,509","    1,995,212",,,2 2,"    5,465","    2,468","    2,997","    22,754","    10,837","    11,917"
2 2,"    14,276,318","    7,322,1 00","    6,954,218","    8,956,117","    5,575,364","    3,380,753","    5,291,982","    1,733,432","    3,558,550",,,2 3,"    8,575","    4,124","    4,451","    27,607","    14,893","    12,714"
2 3,"    14,253,423","    7,380,485","    6,872,938","    6,966,131","    4,682,719","    2,283,412","    7,251,110","    2,678,749","    4,572,361",,,2 4,"    16,513","    8,783","    7,730","    42,354","    24,803","    17,551"
2 4,"    19,430,407","    10,118,136","    9,312,271","    7,112，189","    5,160，265","    1,951,924","    12,259,351","    4,924,285","    7,335,066",,,2 5,"    21,964","    12,394","    9,570","    51,508","    31,640","    19,868"
2 5,"    18,848,488","    9,760,055","    9,088,433","    4,844,709","    3,749,344","    1,095,365","    13,930,307","    5,966,677","    7,963,630",,,2 6,"    27,733","    16,141","    11,592","    55,538","    35,751","    19,787"
2 6,"    17,904,498","    9,233,488","    8,671,010","    3,238,606","    2,646,111","    592,495","    14,582,621","    6,535,485",8047136,,,2 7,39951,"    23,978","    15,973","    68,629","    46,281","    22,348"
2 7,"    19,633,848","    10,154,619","    9,479,229",2491144,"    2,137,613","    353,531","    1 7,034,124","    7,946,747","    9,087,377",,,2 8,"    47,674","    28,690","    18,984","    76,688","    53,658","    23,030"
2 8,"    18,576,950","    9,558,890","    9,018,060","    1,750,214","    1,552,424","    197,790","    16,702,374","    7,924,118",8778256,,,2 9,"    55,736","    33,540",    22，196,"    78,390","    56,339","    22,051"
2 9,"    1 7,463,042","    8,969,579","    8,493,463","    1,278,228","    1,159,764","    118,464","    16,050,688","    7,719,936","    8,330,752",,,3 0-3 4岁,"    403,973","    239,514","    164,459","    420,152","    321,447","    98,705"
3 0-3 4岁,"    72,841,421","    37,871,076","    34,970,345","    3,590,203","    3,349,331","    240,872","    68,427,093","    33,960,784","    34,466,309",,,3 5—3 9岁,"    665,597","    356,769","    308,828",401910,"    326,383","    75,527"
3 5—3 9岁,"    54,115,377","    28,512,698","    25,602,679","    2,002,831","    1,930，048","    72,783",51045039,"    25,899,498","    25,145,541",,,4 0-4 4岁,"    1,229,344","    587,551","    641,793","    453,094","    385,619","    67,475"
4 0-4 4岁,"    48,339,764","    25,778,261","    22,561,503","    1,515,172","    1,471,088","    44,084","    45,142,154","    23,334,003","    21,808,151",,,4 5—4 9岁,"    2,363,308","    998,625","    1,364,683","    548,569","    474,190","    74,379"
4 5—4 9岁,"    47,315,092","    25,029,297","    22,285,795","    1,132,714","    1,092，904","    39,810","    43，270,501","    22，463,578",20806923,,,5 0-5 9岁,"    9,383,748","    3,287,905","    6,095,843","    955,138","    785,872","    169,266"
5 0—5 9岁,"    74,568,969","    38,956,062","    35,612,907","    1,237,379","    1,161,055","    76,324","    62,992,704","    33,721,230","    29,271,474",,,6 0—7 9岁,"    29,287,128","    8,512,849","    20,774,279","    676,416","    529,635","    146,781"
6 0-7 9岁,"    71,460,553","    33,758,974","    37,701,579","    977,651","    864,685","    112,966","    40,519,358",23851805,"    16,667,553",,,8 0岁及以上,"    4,072,801","    1,044,098","    3,028,703","    18,761","    14,490",    4，271
8 0岁及以上,"    5,040,410","    1,762,801","    3,277,609","    55,900","    46,352","    9,548","    892,948","    657,861","    235,087",,,,,,,,,
