33.各少数民族的不在业人口状况,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,  待国家,,,
    民族别,    合计,在校学生,家务劳动,  待升学,,  市镇待业,  退休退职,  其他
,,,,,  统一分配,,,
总计,"    7,818,527","    1,473,036","    4,351,397","    89,414",8823,"    158,920","    341,528","    1,395,409"
蒙古族,"    696,941","    152,253","    368,729","    8,460",    928,"    13,131","    18,754","    134,686"
回族,"    980,613","    1 71,074","    462,596","    12,666","    1,339","    56,295","    116,375","    160,268"
藏族,"    368,923","    27,875","    105,702","    1,654",    44,"    1,236","    4,304","    228,108"
维吾尔族,"    624,448","    132,268","    369,185","    7,773","    3,110","    15,395","    33,001","    63,716"
苗族,"    390,339","    76,821","    218,980","    4,451",    217,"    2,888","    6,177","    80,805"
彝族,"    363,567","    58,929","    21 3,913","    3,126",    1 50,"    2,370","    5,757","    79,322"
壮族,"    1,424,740","    267,697","    973,367","    18,896",    337,"    17,594","    26,085","    120,764"
布依族,"    213,952","    40,636","    121,025","    4,184",    179,"    1,474","    2,445","    44,009"
朝鲜族,"    345,846","    83,937","    151,375","    4,027",    563,"    12,908","    30,259","    62,777"
满族,"    898,373","    145,283","    498,156","    6,972",    863,"    21,675","    63,194","    162,230"
侗族,"    136,303","    30,745","    72,688","    1,734",    42,"    1,174","    2,113","    27,807"
瑶族,"    126,780","    17,823","    91,248",    702,    24,    689,"    1,340","    14,954"
白族,"    124,269","    30,605","    64,240","    2,374",    41,"    1,208","    4,082","    21,719"
土家族,"    280,293","    62,160","    144,217","    3,039",    1 78,"    1,989","    8,198","    60,512"
哈尼族,"    75,319","    12,697","    48,986",    564,    11,    524,    778,"    11,759"
哈萨克族,"    182,896","    40,300","    114,879","    2,106",    377,"    2,596","    6,415","    16,223"
傣族,"    70,857","    9,281","    48,769",    497,    33,    484,"    1,016",10777
黎族,"    89,834","    40,532","    32,090",    626,    26,    555,"    2,322","    13,683"
傈僳族,"    30,059","    5,227","    17,664",    149,    1,    50,    259,"    8,709"
佤族,"    16,102","    3,722","    10,054",    36,    2,    62,    185,"    2,041"
畲族,"    75,422","    4,509","    56,831",    345,    12,    221,    703,"    12,801"
高山族,    299,    96,    94,    10,-,    35,    39,    25
拉祜族,"    14,810","    1,626","    9,465",    72,    2,    152,    133,"    3,360"
水族,"    20,745","    4,465","    10,815",    285,    13,    241,    240,"    4,686"
东乡族,"    23,757","    1,996","    13,738",    113,-,    84,    210,"    7,616"
纳西族,"    25,645","    5,618","    13,239",    639,    7,    289,"    1,412","    4,441"
景颇族,"    9,015","    1,952","    5,273",    53,    6,    41,    57,"    1,633"
柯尔克孜族,"    14,840","    3,461","    8,304",    186,    30,    101,"    1,062","    1,696"
土族,"    16,544","    4,148","    8,322",    550,    10,    83,    228,"    3,203"
达斡尔族,"    24,953","    4,581","    13,134",    404,    57,"    1,434",    898,"    4,445"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,  待国家,,,
    民族别,    合计,在校学生,家务劳动,  待升学,,  市镇待业,  退休退职,    其他
,,,,,  统一分配,,,
(续),,,,,,,,
仫佬族,"    24,953","    4,581","    13,134",    404,    57,"    1,434",    898,"    4,445"
羌族,"    1 1,065","    2,035","    7,660",    205,    1,    191,    188,    785
布朗族,12343,"    2,451","    7,737",    347,    1,    66,    116,"    1,625"
撒拉族,"    4,054",    367,"    3,175",    11,-,    10,    30,    461
毛难族,"    6,275","    1,132","    3,133",    1 14,    7,    47,    128,"    1,714"
仡佬族,"    3,861","    1,074","    2,220",    127,-,    28,    46,    366
锡伯族,"    4,396","    1,097","    2,336",    91,    7,    30,    48,    787
阿昌族,"    16,511","    4,241","    8,098",    280,    23,    449,    897,"    2,523"
普米族,"    2,057",    331,"    1,278",    9,    1,    6,    10,    422
塔吉克族,"    2,260",    427,"    1,324",    18,-,    5,    26,    460
怒族,"    2,427",    730,    699,    8,    3,    22,    90,    875
乌孜别克族,"    1,306",    309,    527,    13,-,    4,    40,    413
俄罗斯族,"    2,995",    728,"    1,622",    49,    21,    182,    183,    210
鄂温克族,    898,    168,    422,    38,    1,    47,    134,    88
崩龙族,"    4,147","    1,201","    1,769",    1 1 7,    21,    269,    109,    661
保安族,"    1,068",    1 12,    81 1,    1,-,-,    1,    143
裕固族,"    1,038",    259,    449,    8,-,    7,    13,    302
京族,"    1,411",    458,    672,    1 4,    1,    15,    42,    209
塔塔尔族,"    1,629",    472,    788,    33,-,    47,    134,    155
独龙族,    877,    257,    440,    13,    7,    27,    59,    74
鄂伦春族,    327,131,    121,    1,-,    1,    7,    66
赫哲族,    922,    255,    439,    10,    8,    39,    25,    146
门巴族,    344,    105,    162,    9,    1,    6,    1 7,    44
珞巴族,    94,    10,    2,-,-,-,-,    82
基诺族,    97,    3,    6,    1,-,-,-,    87
其他,"    65,376","    13,975","    35,693","    1,187",    115,    411,    660,"    13,335"
外国人加入中国籍(入籍),"    1,518",    337,"    1,061",    12,    2,    7,    11,    88
