23.省、市、自治区的镇按人口数分组,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    镇数,1 0 0．0 0 0,5 0．0 0 0,3 0．0 0 0,    2 0．0 0 0,  1 0．0 0 0,5．0 0 0,3．0 0 0,3．0 0 0
,    合计,,    -,    -,    -,    -,    -,    -,
    地区别,,,,,,,,,
,    (个),  人以上, 9 9.9 9 9人, 4 9.9 9 9人,    2 9.9 9 9人, 1 9.9 9 9人, 9.9 9 9人, 4.9 9 9人,  人以下
总计,"    2,660",    24,227,    412,    495,    707,    499,    177,    119
北京市,    14,-,    2,-,    6,    4,    2,-,-
天津市,    7,-,-,    3,    2,    1,    1,-,-
河北省,    50,-,    3,    1 0,    11,    24,    2,-,-
山西省,    48,-,    5,    5,    6,    19,    12,-,    1
内蒙古自冶区,    102,    1,    5,    17,    26,    32,    17,    1,    3
辽宁省,    93,    5,    11,    23,    20,    19,    7,    7,    1
吉林省,    101,    3,    21,    22,    15,    19,    19,    2,-
黑龙江省,    101,    5,    25,    35,    17,    15,    2,    2,-
上海市,    33,-,    3,    3,    7,    7,    10,    3,-
江苏省,    114,    1,    11,    25,    18,    20,    30,    5,    4
浙江省,    165,-,    8,    1 4,    44,    54,    26,    11,    8
安徽省,    1 18,-,    4,    15,    31,    24,    24,    13,    7
福建省,    1 19,-,    4,    17,    21,    39,    24,    10,    4
江西省,    106,-,    2,    1 8,    28,    45,    11,    1,    1
山东省,    97,    6,    46,    39,    3,    3,-,-,-
河南省,    109,-,    14,    40,    42,    12,    1,-,-
湖北省,    127,-,    9,    22,    24,    37,    27,    5,    3
湖南省,    186,-,    3,    16,    30,    38,    46,    36,    17
广东省,    132,    1,    19,    23,    36,    36,    15,    1,    1
广西壮族自治区,    92,-,    6,    7,    16,    44,    16,    2,    1
四川省,    309,    1,    10,    22,    40,    70,    62,    49,    55
贵州省,    93,    1,    2,    4,    7,    39,    29,    8,    3
云南省,    128,-,    3,    10,    13,    32,    53,    13,    4
西藏自治区,    9,-,-,-,    1,    2,    3,-,    3
陕西省,    81,-,    3,    6,    16,    26,    25,    4,    1
甘肃省,    44,-,    5,    8,    5,    15,    8,    2,    1
青海省,    4,-,    1,-,    1,    1,    1,-,-
宁夏回族自治区,    14,-,-,    2,    2,    2,    8,-,-
新疆维吾尔自治区,    64,-,    2,    6,    7,    28,    18,    2,    1
