,,,,,
11．1982年每千人拥有的小学以上文化程度人口,,,,,
    单位：人,,,,,
,,,,,
,,大学肄业,,,
    地区别,大学毕业,,高中,初中,小学
,,或在校,,,
29个省、市、区,    4,    2,    66,    1 78,    354
  北京市,    36,    13,    1 76,    291,    262
  天津市,    16,    7,    133,    2 85,    308
  河北省,    3,    1,    75,    1 93,    364
  山西省,    4,    2,    74,    219,    388
  内蒙古自治区,    4,    1,    75,    193,    328
  辽宁省,    7,    3,    93,    276,    357
  吉林省,    6,    2,    108,    2 09,    360
  黑龙江省,    5,    2,    94,    222,    355
  上海市,    24,    11,    203,    280,    252
  江苏省,    5,    2,    70,    2 01,    326
  浙江省,    3,    1,    52,    1 78,    394
  安徽省,    3,    1,    40,    1 42,    297
  福建省,    5,    1,    57,    126,    363
  江西省,    3,    1,    55,    133,    386
  山东省,    3,    1,    59,    177,    337
  河南省,    2,    1,    63,    192,    312
  湖北省,    4,    2,    75,    187,    356
  湖南省,    3,    1,    65,    173,    430
  广东省,    4,    1,    79,    1 69,    406
  广西壮族自治区,    3,    1,    65,    157,    388
  四川省,    3,    1,    40,    155,    414
  贵州省,    3,    1,    30,    114,    288
  云南省,    2,    1,    28,    102,    293
  西藏自治区,    4,    1,    12,    36,    165
  陕西省,    6,    2,    79,    194,    327
  甘肃省,    4,    1,    63,    122,    277
  青海省,    7,    1,    51,    140,    257
  宁夏回族自治区,    5,    1,    53,    155,    257
  新疆维吾尔自治区,    5,    2,    64,    175,    338
