,,,,,,,,,
表3--16省、自治区、直辖市少数民族文盲、半文盲人口数,,,,,,,,,
单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口数,,,    文盲、半文盲人口数,,,    文盲、半文盲占15岁及以上人口的百分比,,
    地区别,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    60 250 338,    30 829 020,    29 421 318,  18 574 352,    6 319 280,    12 255 072,    30.83,    20.50,    41.65
北京市,    323 437,    168 294,    155 143,    26 843,    8 025,    18 818,    8.30,    4.77,    12.13
天津市,    154 796,    76 919,    77 877,    13 708,    3 255,    10 453,    8.86,    4.23,    13.42
河北省,    1 643 970,    849 982,    793 988,    269 109,    87 015,    182 094,    16.37,    10.24,    22.93
山西省,    60 436,    29 489,    30 947,    5 915,    1 404,    4 511,    9.79,    4.76,    14.58
内蒙古自治区,    2 605 360,    1 320 258,    1 285 102,    456 914,    162 657,    294 257,    17.54,    12.32,    22.90
辽宁省,    4 387 086,    2 270 195,    2 116 891,    445 322,    139 294,    306 028,    10.15,    6.14,    14.46
吉林省,    1 789 110,    904 793,    884 317,    163 429,    49 127,    114 302,    9.13,    5.43,    12.93
黑龙江省,    1 415 785,    747 276,    668 509,    148 398,    50 650,    97 748,    10.48,    6.78,    14.62
上海市,    48 079,    24 328,    23 751,    2 726,    427,    2 299,    5.67,    1．76,    9.68
江苏省,    117 250,    51 808,    65 442,    13 220,    2 381,    10 839,    11.28,    4.60,    16.56
浙江省,    156 093,    75 287,    80 806,    41 353,    12 419,    28 934,    26.49,    16.50,    35.81
安徽省,    226 735,    109 563,    117 172,    54 832,    16 508,    38 324,    24.18,    15.07,    32.71
福建省,    312 423,    168 220,    144 203,    87 609,    27 291,    60 318,    28.04,    16.22,    41.83
江西省,    69 314,    37 448,    31 866,    13 857,    3 716,    10 141,    19.99,    9.92,    31.82
山东省,    360 500,    171 956,    188 544,    73 868,    20 089,    53 779,    20.49,    11.68,    28.52
河南省,    700 582,    350 268,    350 314,    126 106,    41 179,    84 927,    18.00,    11.76,    24.24
湖北省,    1 516 944,    805 171,    711 773,    328 349,    105 553,    222 796,    21.65,    13.11,    31.30
湖南省,    3 311039,    1 742 354,    1 568 685,    825 103,    247 191,    577 912,    24.92,    14.19,    36.84
广东省,    263 655,    103 469,    160 186,    36 477,    8 014,    28 463,    13.84,    7.75,    17.77
广西壮族自治区,    10 891 074,    5 547 948,    5 343 126,    2 285 594,    539 740,    1 745 854,    20.99,    9.73,    32.67
海南省,    684 870,    343 332,    341 538,    187 129,    59 598,    127 531,    27.32,    17.36,    37.34
四川省,    3 266 910,    1 663 132,    1 603 778,    1 665 092,    646 396,    1 018 696,    50.97,    38.87,    63.52
贵州省,    7 313 510,    3 807 214,    3 506 296,    3 152 300,    968 492,    2 183 808,    43.10,    25.44,    62.28
云南省,    8 056 471,    4 089 809,    3 966 662,    3 665 462,    1 272 866,    2 392 596,    45.50,    31.12,    60.32
西藏自治区,    1 343 983,    655 578,    688 405,    978 703,    389 791,    588 912,    72.82,    59.46,    85.55
陕西省,    117 053,    59 335,    57 718,    18 799,    6 495,    12 304,    16.06,    10.95,    21.32
甘肃省,    1 262 085,    641 696,    620 389,    861 254,    355 788,    505 466,    68.24,    55.44,    81.48
青海省,    1 191 335,    601 106,    590 229,    747 433,    279 397,    468 036,    62.74,    46.48,    79.30
宁夏回族自治区,    940 312,    480 325,    459 987,    467 473,    169 038,    298 435,    49.71,    35.19,    64.88
新疆维吾尔自治区,    5 720 141,    2 932 467,    2 787 674,    1 411 975,    645 484,    766 491,    24.68,    22.01,    27.50
