表5—9 省、自治区、直辖市的市15岁及15岁以上分性别的文盲、半文盲人口数(第二口径),,,,,,,,,
,,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    165 266 592,    85 559 730,    79 706 862,    20 113 289,    5 364 710,    14 748 579,    12.17,    6.27,    18.50
北京市,    6 029 549,    3 154 470,    2 875 079,    502 882,    108 243,    394 639,    8.34,    3.43,    13.73
天津市,    4 658 927,    2 372 785,    2 286 142,    438 309,    90 062,    348 247,    9.41,    3.80,    15.23
河北省,    6 697 308,    3 513 202,    3 184 106,    688 248,    175 763,    512 485,    10.28,    5.00,    16.10
山西省,    4 853 246,    2 579 991,    2 273 255,    508 244,    156 202,    352 042,    10.47,    6.05,    15.49
内蒙古自治区,    3 810 946,    1 959 675,    1 851 271,    461 152,    141 406,    319 746,    12.10,    7.22,    17.27
辽宁省,    13 405 337,    6 801 838,    6 603 499,    1 139285,    280 133,    859 152,    8.50,    4.12,    13.01
吉林省,    5 614 847,    2 836 818,    2 778 029,    554 352,    163 541,    390 811,    9.87,    5.76,    14.07
黑龙江省,    8 968 047,    4 553 594,    4 414 453,    972 501,    287 013,    685 488,    10.84,    6.30,    15.53
上海市,    6 812 720,    3 542 301,    3 270 419,    620 239,    112 725,    507 514,    9.10,    3.18,    15.52
江苏省,    8 326 400,    4 363 028,    3 963 372,    1 118 275,    281 316,    836 959,    13.43,    6.45,    21.12
浙江省,    5 340 208,    2 755 710,    2 584 498,    890 393,    259 975,    630 418,    16.67,    9.43,    24.39
安徽省,    5 355 866,    2 806 989,    2 548 877,    954 009,    292 899,    661 110,    17.81,    10.43,    25.94
福建省,    3 083 895,    1 599 210,    1 484 685,    433 556,    89 304,    344 252,    14.06,    5.58,    23.19
江西省,    3 896 440,    2 020 188,    1 876 252,    476 376,    126 819,    349 557,    12.23,    6.28,    18.63
山东省,    12 833 897,    6 561 374,    6 272 523,    2 136 386,    563 445,    1 572 941,    16.65,    8.59,    25.08
河南省,    6 874 645,    3 620 915,    3 253 730,    760 879,    207 941,    552 938,    11.07,    5.74,    16.99
湖北省,    8 947 393,    4 611 979,    4 335 414,    1 178 763,    299 855,    878 908,    13.17,    6.50,    20.27
湖南省,    6 011 771,    3 147 126,    2 864 645,    566 625,    148 600,    418 025,    9.43,    4.72,    14.59
广东省,    11 928 085,    6 067 154,    5 860 931,    1 283 151,    244 079,    1 039 072,    10.76,    4.02,    17.73
广西壮族自治区,    2 439 899,    1 270 591,    1 169 308,    203 602,    38 075,    165 527,    8.34,    3．00,    14.16
海南省,    594 496,    312 599,    281 897,    78 763,    17 082,    61 681,    13.25,    5.46,    21.88
四川省,    12 482 905,    6 519 834,    5 963 071,    1 745 826,    545 367,    1 200 459,    13.99,    8.36,    20.13
贵州省,    3 169 282,    1 678 650,    1 490 632,    738 302,    234 921,    503 381,    23.30,    13.99,    33.77
云南省,    1 926 037,    1 020 168,    905 869,    278 053,    87 556,    190 497,    14.44,    8.58,    21.03
西藏自治区,    129 531,    71 316,    58 215,    37 405,    13 254,    24 151,    28.88,    18.58,    41.49
陕西省,    3 874 348,    2 038 673,    1 835 675,    359 386,    92 439,    266 947,    9.28,    4.53,        14.54
甘肃省,    3 015 612,    1 597 387,    1 418 225,    504 896,    151 108,    353 788,16.74,    9.46,    24.95
青海省,    638 698,    337 278,    301 420,    78 960,    21 805,    57 155,    12.36,    6.46,    18.96
宁夏回族自治区,    616 625,    321 846,    294 779,    76 914,    24 107,    52 807,    12.47,    7.49,    17.91
新疆维吾尔自治区,    2 929 632,    1 523 041,    1 406 591,    327 557,    109 675,    217 882,    11.18,    7.20,    15.49
