,,,,,,,,,,,
表8-2省、自治区、直辖市镇家庭户的规模,,,,,,,,,,,
    单位：户,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,    十人及十
    地区别,    合计,    一人户,    二人户,    三人户,    四人户,    五人户,    六人户,    七人户,    八人户,    九人户,
,,,,,,,,,,,    人以上户
总计,    64 144 453,    4 149 452,    7 049 791,    14 442 109,  16 477 549,  11 519 088,  5 599 549,  2 669 151,  1 203 238,    535 497,  499 029
北京市,    530 251,    68 147,    91 489,    167 872,    125 455,    47 135,    18 743,    6 710,    2 569,    1 124,    1007
天津市,    191 542,    22 341,    27 948,    61 774,    45 437,    20 152,    8 002,    3 324,    1 356,    605,    603
河北省,    3 455 296,    205 637,    412 502,    803 463,  1 025 058,    600 216,    234 811,    101 875,    41 214,    16046,    14474
山西省,    2 292 926,    160 886,    277 213,    473 073,    639 254,    436 544,    186 006,    74 902,    27 613,    10 328,    7 107
内蒙古自治区,    1 077 453,    45 658,    104 907,    280 368,    300 599,    190 749,    90 440,    38 602,    15 556,    6 113,    4 461
辽宁省,    2 384 568,    93 407,    268 637,    824 849,    659 139,    338 712,    132 414,    45 164,    14 726,    4 940,    2 580
吉林省,    1 478 104,    45 399,    143 748,    460 911,    420 626,    236 289,    104 784,    41 526,    15 417,    5 585,    3 819
黑龙江省,    1 970 407,    55 277,    189 174,    549 452,    576 181,    345 060,    1 56 399,    62 489,    23 027,    8 186,    5 162
上海市,    281 421,    42 399,    60 780,    107 902,    45 475,    17 478,    5 135,    1 568,    458,    125,    101
江苏省,    3 584 480,    280 235,    447 085,    1 068 124,    905 358,    526 521,    208 602,    84 949,    35 745,    15 014,    12 847
浙江省,    2 425 684,    237 843,    338 030,    695 316,    613 897,    340 235,    126 997,    47 595,    16 782,    5 799,    3 190
安徽省,    2 073 503,    150 009,    225 209,    447 118,    518 631,    395 202,    186 351,    86 725,    37 092,    15 430,    1 1 736
福建省,    2 147 178,    117 729,    183 295,    345 431,    514 678,    470 712,    251 860,    125 627,    62 729,    32 307,    42 810
江西省,    1 422 028,    76 760,    133 287,    278 671,    349 679,    286 918,    1 53 401,    76 777,    35 308,    16 074,    15 153
山东省,    5 227 859,    303 363,    662 351,    1 347 375,    1474 431,    860 818,    348 245,    138 983,    53 014,    21 016,    18 263
河南省,    3 692 345,    197 392,    360 391,    703 162,    974 279,    774 166,    365 269,    177 967,    79 171,    33 802,    26 746
湖北省,    4 375 655,    187 255,    434 334,    925 099,    1 314 971,    867 256,    384 790,    163 689,    61 996,    22 233,    14 032
湖南省,    3 102 087,    217 615,    406 008,    727 233,    905 948,    544 551,    195 910,    69 991,    23 180,    7 452,    4 199
广东省,    8 628 750,    640 360,    719 530,    1 169 963,    1 833 955,  1 858 075,  1 133 832,    626 730,    316 544,    156 298,    173 463
广西壮族自治区,    2 495 669,    177 572,    208 295,    358 232,    506 007,    491 653,    334 485,    203 944,    109 796,    54 673,    51 012
海南省,    778 881,    64 812,    69 404,    94 462,    138 795,    150 474,    106 780,    70 829,    41 286,    20 81 3,    21 226
四川省,    4 273 397,    401 822,    654 334,    1 294 988,    1 058 318,    541 496,    198 777,    76 285,    28 971,    10 976,    7 430
贵州省,    1 069 065,    79 288,    107 963,    215 017,    224 805,    210 948,    124 582,    61 968,    27 026,    10 623,    6 845
云南省,    2 098 408,    106 535,    195 425,    391 741,    515 050,    392 361,    247 094,    133 977,    64 972,    28 871,    22 382
西藏自治区,    37 410,    3 575,    5 836,    7 076,    7 256,    4 846,    2 880,    2 077,    1 465,    1 005,    1 394
陕西省,    1 611 624,    81 548,    186 425,    358 521,    442 427,    306 800,    140 396,    59 039,    21 866,    8 304,    6 298
甘肃省,    697 138,    32 137,    58 788,    138 326,    181 727,    136 827,    73 906,    39 312,    19 079,    8 756,    8 280
青海省,    159 093,    12 002,    15 241,    29 533,    35 085,    29 198,    17 553,    9 600,    5 318,    2 614,    2 949
宁夏回族自治区,    155 002,    9 153,    14 057,    32 612,    38 948,    29 188,    16 831,    8 089,    3 523,    1 528,    1 073
新疆维吾尔自治区,    427 229,    33 296,    48 105,    84 445,    86 080,    68 508,    44 274,    28 838,    16 439,    8 857,    8 387
