,,,,,,,,,,,,,
表8-5省、自治区、直辖市市家庭户类 别,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    地区别,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,    86 723 218,    4 027 069,    6 697 768,    56 695 346,  13 391 371,    412 241,    383,    849 967,  1 980 991,    847 886,    33 749,    45, 1 786 402
北京市,    2 105 002,    89 128,    197 960,    1 193 659,    330 163,    7 008,    1,    40 288,    58 737,    19 404,    564,    -,  168 090
天津市,    1 753 445,    86 353,    158 955,    1 050 428,    280 406,    4 334,    -,    18 234,    28 771,    8 735,    203,    -,  117 026
河北省,    3 71 1 702,    150 395,    296 789,    2 477 598,    566 017,    19 217,    20,    28 020,    68 072,    30 916,    1 430,    1,    73 227
山西省,    2 044 285,    86 896,    147 895,    1 415 606,    287 775,    8 044,    4,    16 245,    31 241,    10 491,    333,    1,    39 754
内蒙古自治区,    1 700 386,    60 843,    140 773,    1 207 660,    182 951,    4 177,    2,    16 215,    52 191,    15 066,    415,    1,    20 092
辽宁省,    5 705 433,    193 330,    562 504,    3 905 336,    812 595,    21 665,    8,    36 966,    88 407,    33 280,    880,    1,    50 461
吉林省,    3 253 992,    89 014,    239 515,    2 255 685,    491 996,    15 237,    15,    23 428,    81 735,    33 942,    1 121,    3,    22 301
黑龙江省,    4 480 726,    1 18 927,    354 756,    3 151 805,    600 235,    16 340,    13,    35 705,    127 015,    47 845,    1 294,    -,    26 791
上海市,    2 466 572,    1 10 605,    223 442,    1 287 923,    536 431,    11 194,    3,    49 916,    57 337,    22 1 13,    605,    1,  167 002
江苏省,    6 384 293,    392 138,    573 278,    4 000 575,    1 051 052,    38 745,    46,    50 946,    110 076,    50 704,    2 229,    3,  114 501
浙江省,    5 072 912,    418 045,    486 01 5,    3 206 440,    701 426,    27 036,    35,    38 712,    68 043,    25 331,    1 215,    1,  100 613
安徽省,    2 731 246,    130 823,    201 752,    1 815 302,    395 059,    13 095,    12,    31 376,    67 372,    25 434,    1 076,    1,    49 944
福建省,    1 492 474,    77 337,    81 860,    901 832,    306 707,    13 264,    26,    19 282,    39 401,    20 500,    1 088,    6,    31 171
江西省,    2 083 077,    76 921,    111 817,    1 392 645,    366 179,    12 651,    10,    18 805,    50 447,    24 480,    1 058,    -,    28 064
山东省,    9 092 533,    492 169,    797 603,    6 230 745,    1 168 052,    32 203,    32,    57 210,    149 930,    60 930,    2 137,    4,  101 518
河南省,    3 568 101,    135 632,    212 750,    2 362 002,    601 295,    23 263,    23,    33 768,    92 504,    38 037,    1 951,    4,    66 872
湖北省,    6 107 382,    219 065,    393 1 10,    4 015 768,    1 066 542,    35 458,    32,    46 660,    172 202,    93 499,    4 631,    4,    60 411
湖南省,    3 920 686,    217 010,    322 097,    2 667 057,    509 018,    13 338,    12,    31 961,    72 310,    25 848,    963,    -,    61 072
广东省,    3 707 373,    212 575,    188 582,    2 162 857,    729 804,    24 417,    22,    82 649,    141 1 15,    64 984,    2 734,    4,    97 630
广西壮族自治区,    1 700 500,    87 659,    94 432,    1 058 844,    302 987,    1 1 106,    13,    22 308,    55 380,    30 043,    1 411,    4,    36 313
海南省,    177 249,    8 449,    7 035,    101 378,    30 742,    1 104,    2,    4 720,    12 313,    5 315,    226,    -,    5 965
四川省,    5 463 558,    292 050,    360 434,    3 437 324,    902 851,    23 760,    13,    65 398,    137 882,    56 891,    1 955,    3,  184 997
贵州省,    1 449 973,    58 786,    93 702,    989 109,    206 483,    5 777,    8,    16 490,    39 638,    16 116,    571,    -,    23 293
云南省,    1 414 101,    58 434,    91 718,    908 319,    241 860,    9 567,    9,    12 334,    31 960,    22 494,    1 21 1,    1,    36 194
西藏自治区,    44 494,    1 793,    3 773,    21 766,    5 037,    207,    -,    2 746,    5 863,    2 432,    132,    2,    743
陕西省,    2 009 456,    71 336,    143 579,    1 348 878,    320 125,    9 140,    11,    17 568,    38 653,    18 095,    794,    -,    41 277
甘肃省,    1 410 489,    37 392,    72 257,    959 528,    227 498,    7 852,    8,    12 019,    40 371,    29 366,    1 194,    -,    23 004
青海省,    209 677,    6 633,    18 050,    143 534,    23 817,    459,    -,    3 022,    6 168,    1 652,    25,    -,    6 317
宁夏回族自治区,    305 365,    8 786,    21 600,    215 098,    36 924,    878,    1,    3 056,    8 808,    2 688,    80,    -,    7 446
新疆维吾尔自治区,    1 156 736,    38 545,    99 735,    810 645,    109 344,    1 705,    2,    13 920,    47 049,    11 255,    223,    -,    24 313
